# capture_start_utc=2026-08-29T17:33:14Z
[[DEBUG]] Starting [[SENSOR TASK]]
[SELFTEST] compensate: T=150 (exp 150)  P=69964 (exp 69964)  -> PASS
#BMP180 v1 fw=1.4.0 temp_ms=1000
[[DEBUG]] BMP180 registered on /dev/bmp180-0
S 3088508 300 101658 1
S 3095507 300 101654 1
S 3102507 300 101654 1
S 3109506 300 101652 1
S 3116506 300 101658 1
S 3123505 300 101661 1
S 3130505 300 101664 1
S 3137504 300 101657 1
S 3144504 300 101657 1
S 3151504 300 101655 1
S 3158503 300 101651 1
S 3165503 300 101652 1
S 3172502 300 101657 1
S 3179502 300 101652 1
S 3186501 300 101660 1
S 3193501 300 101657 1
S 3200501 300 101663 1
S 3207500 300 101654 1
S 3214500 300 101657 1
S 3221499 300 101655 1
S 3228499 300 101651 1
S 3235498 300 101654 1
S 3242498 300 101654 1
S 3249497 300 101652 1
S 3256497 300 101654 1
S 3263497 300 101655 1
S 3270496 300 101655 1
S 3277496 300 101658 1
S 3284495 300 101657 1
S 3291495 300 101655 1
S 3298494 300 101651 1
S 3305494 300 101657 1
S 3312494 300 101654 1
S 3319493 300 101655 1
S 3326493 300 101657 1
S 3333492 300 101654 1
S 3340492 300 101657 1
S 3347491 300 101657 1
S 3354491 300 101652 1
S 3361490 300 101655 1
S 3368490 300 101651 1
S 3375490 300 101660 1
S 3382489 300 101658 1
S 3389489 300 101651 1
S 3396488 300 101655 1
S 3403488 300 101649 1
S 3410487 300 101658 1
S 3417487 300 101652 1
S 3424487 300 101651 1
S 3431486 300 101652 1
S 3438486 300 101655 1
S 3445485 300 101654 1
S 3452485 300 101657 1
S 3459484 300 101660 1
S 3466484 300 101654 1
S 3473483 300 101654 1
S 3480483 300 101655 1
S 3487483 300 101655 1
S 3494482 300 101652 1
S 3501482 300 101655 1
S 3508481 300 101657 1
S 3515481 300 101657 1
S 3522480 300 101651 1
S 3529480 300 101654 1
S 3536480 300 101654 1
S 3543479 300 101654 1
S 3550479 300 101657 1
S 3557478 300 101657 1
S 3564478 300 101651 1
S 3571477 300 101649 1
S 3578477 300 101654 1
S 3585476 300 101657 1
S 3592476 300 101652 1
S 3599476 300 101649 1
S 3606475 300 101651 1
S 3613475 300 101652 1
S 3620474 300 101657 1
S 3627474 300 101654 1
S 3634473 300 101651 1
S 3641473 300 101655 1
S 3648473 300 101657 1
S 3655472 300 101649 1
S 3662472 300 101651 1
S 3669471 300 101655 1
S 3676471 300 101660 1
S 3683470 300 101652 1
S 3690470 300 101651 1
S 3697469 300 101649 1
S 3704469 300 101655 1
S 3711469 300 101648 1
S 3718468 300 101654 1
S 3725468 300 101655 1
S 3732467 300 101655 1
S 3739467 300 101651 1
S 3746466 300 101652 1
S 3753466 300 101654 1
S 3760466 300 101655 1
S 3767465 300 101655 1
S 3774465 300 101660 1
S 3781464 300 101657 1
S 3788464 300 101657 1
S 3795463 300 101652 1
S 3802463 300 101651 1
S 3809462 300 101666 1
S 3816462 300 101660 1
S 3823462 300 101652 1
S 3830461 300 101655 1
S 3837461 300 101652 1
S 3844460 300 101652 1
S 3851460 300 101649 1
S 3858459 300 101655 1
S 3865459 300 101651 1
S 3872459 300 101651 1
S 3879458 300 101655 1
S 3886458 300 101654 1
S 3893457 300 101657 1
S 3900457 300 101652 1
S 3907456 300 101657 1
S 3914456 300 101657 1
S 3921455 300 101657 1
S 3928455 300 101655 1
S 3935455 300 101655 1
S 3942454 300 101661 1
S 3949454 300 101652 1
S 3956453 300 101649 1
S 3963453 300 101652 1
S 3970452 300 101654 1
S 3977452 300 101651 1
S 3984452 300 101652 1
S 3991451 300 101652 1
S 3998451 300 101655 1
S 4005450 300 101655 1
S 4012450 300 101651 1
